"state","city_name","date","new_cases","city_cod","state_cod","count"
"MT","Cuiabá","2020-03-19",1,"5103403","51",1
"MT","Várzea Grande","2020-03-20",1,"5108402","51",1
"MT","Cuiabá","2020-03-23",4,"5103403","51",5
"MT","Várzea Grande","2020-03-24",1,"5108402","51",2
"MT","Nova Monte Verde","2020-03-25",1,"5108956","51",1
"MT","Cuiabá","2020-03-25",1,"5103403","51",6
