"state","city_name","date","new_cases","count"
"AL","Maceió","2020-03-08",1,1
"AL","Maceió","2020-03-19",3,4
"AL","Maceió","2020-03-20",2,6
"AL","Maceió","2020-03-21",1,7
"AL","Maceió","2020-03-23",1,8
"AL","Maceió","2020-03-24",2,10
"AL","Porto Real do Colégio","2020-03-25",1,1
