"state","city_name","date","new_cases","count"
"SE","Aracaju","2020-03-14",1,1
"SE","Aracaju","2020-03-16",4,5
"SE","Aracaju","2020-03-21",2,7
"SE","Aracaju","2020-03-24",5,12
"SE","Aracaju","2020-03-25",1,13
"SE","Nossa Senhora da Glória","2020-03-21",1,1
"SE","Propriá","2020-03-18",1,1
"SE","Propriá","2020-03-20",1,2
