"state","city_name","date","new_cases","count"
"MS","Campo Grande","2020-03-12",2,2
"MS","Campo Grande","2020-03-14",2,4
"MS","Campo Grande","2020-03-15",3,7
"MS","Campo Grande","2020-03-16",3,10
"MS","Campo Grande","2020-03-17",2,12
"MS","Campo Grande","2020-03-19",9,21
"MS","Campo Grande","2020-03-20",1,22
"MS","Ponta Porã","2020-03-19",1,1
"MS","Sidrolândia","2020-03-17",1,1
